"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","频率 (Min) (MHz) ","频率 (Max) (MHz) ","供电电压 (Typ) (V) ","P1dB (Typ) (dBm) ","P1dB (Typ) (W) ","输出功率 (Typ) (W)  @ Intermodulation Level at Test Signal","测试信号","功率增益 (Typ) (dB)  @ f (MHz)","效率 (Typ) (%) ","热阻 (Spec)(&#176;C/W)","匹配","类型","模具技术","PLC代码","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","P3dB (Typ) (W) ","频率 (Min-Max) (MHz) ","无铅","认证级别","RoHS","应用","输出功率 (Typ) (W) (P1dB)","增益 (Typ) (dB) ","互调失真 - IMD (Typ) (dBc) ","互调失真 - IM3 (Typ) (dBc) ","宽带效率 (Typ) (%) ","宽带频率 (Min-Max) (MHz) (f)","替代部件"
"FSL","射频---射频移动通信基础架构","AFT26HW050S","AFT26HW050GSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT26HW050S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2496-2690-mhz-9-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT26HW050S?&fpsp=1&tab=Documentation_Tab#AFT26HW050GSR3","Airfast RF Power LDMOS Transistor, 2496-2690 MHz, 9 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT26HW050GSR3');trackRFAnalytics('AFT26HW050GSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2496","2690","28","46.2","42","9 @ AVG","W-CDMA","14.2 @ 2690","47.1","0.75","I/O","AB, C","LDMOS","2","-","Air Cavity 9","9","PRODUCT RAPID GROWTH(2)","54","2496 to 2690","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT26HW050S","AFT26HW050SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT26HW050S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2496-2690-mhz-9-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT26HW050S?&fpsp=1&tab=Documentation_Tab#AFT26HW050SR3","Airfast RF Power LDMOS Transistor, 2496-2690 MHz, 9 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT26HW050SR3');trackRFAnalytics('AFT26HW050SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2496","2690","28","46.2","42","9 @ AVG","W-CDMA","14.2 @ 2690","47.1","0.75","I/O","AB, C","LDMOS","2","-","Air Cavity 9","9","PRODUCT RAPID GROWTH(2)","54","2496 to 2690","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT26P100-4WS","AFT26P100-4WGSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT26P100-4WS&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2496-2690-mhz-22-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT26P100-4WS?&fpsp=1&tab=Documentation_Tab#AFT26P100-4WGSR3","Airfast RF Power LDMOS Transistor, 2496-2690 MHz, 22 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT26P100-4WGSR3');trackRFAnalytics('AFT26P100-4WGSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2496","2690","28","49.4","87","22 @ AVG","W-CDMA","15.3 @ 2690","43.9","0.6","I/O","AB, C","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","125","2496 to 2690","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT26P100-4WS","AFT26P100-4WSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT26P100-4WS&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2496-2690-mhz-22-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT26P100-4WS?&fpsp=1&tab=Documentation_Tab#AFT26P100-4WSR3","Airfast RF Power LDMOS Transistor, 2496-2690 MHz, 22 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT26P100-4WSR3');trackRFAnalytics('AFT26P100-4WSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2496","2690","28","49.4","87","22 @ AVG","W-CDMA","15.3 @ 2690","43.9","0.6","I/O","AB, C","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","125","2496 to 2690","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT26H250W03S","AFT26H250W03SR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT26H250W03S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2496-2690-mhz-50-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT26H250W03S?&fpsp=1&tab=Documentation_Tab#AFT26H250W03SR6","Airfast RF Power LDMOS Transistor, 2496-2690 MHz, 50 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT26H250W03SR6');trackRFAnalytics('AFT26H250W03SR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2496","2690","28","53.6","230","50 @ AVG","W-CDMA","14.1 @ 2496","44.6","0.42","I/O","AB, C","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","320","2496 to 2690","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT26H200W03S","AFT26H200W03SR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT26H200W03S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2496-2690-mhz-45-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT26H200W03S?&fpsp=1&tab=Documentation_Tab#AFT26H200W03SR6","Airfast RF Power LDMOS Transistor, 2496-2690 MHz, 45 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT26H200W03SR6');trackRFAnalytics('AFT26H200W03SR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2496","2690","28","53","200","45 @ AVG","W-CDMA","14.1 @ 2496","45.2","0.46","I/O","AB, C","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","280","2496 to 2690","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT26H160-4S4","AFT26H160-4S4R3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT26H160-4S4&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2496-2690-mhz-32-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT26H160-4S4?&fpsp=1&tab=Documentation_Tab#AFT26H160-4S4R3","Airfast RF Power LDMOS Transistor, 2496-2690 MHz, 32 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT26H160-4S4R3');trackRFAnalytics('AFT26H160-4S4R3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2496","2690","28","50","100","32 @ AVG","W-CDMA","14.9 @ 2496","45.7","0.41","I/O","AB, C","LDMOS","2","-","Air Cavity 9","9","PRODUCT RAPID GROWTH(2)","200","2496 to 2690","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT23S170-13S","AFT23S170-13SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT23S170-13S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2300-2400-mhz-45-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT23S170-13S?&fpsp=1&tab=Documentation_Tab#AFT23S170-13SR3","Airfast RF Power LDMOS Transistor, 2300-2400 MHz 45 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT23S170-13SR3');trackRFAnalytics('AFT23S170-13SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2300","2400","28","51.7","147","45 @ AVG","W-CDMA","18.8 @ 2400","33.9","0.42","I/O","AB","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","-","2300 to 2400","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT23S160W02S","AFT23S160W02GSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT23S160W02S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2300-2400-mhz-45-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT23S160W02S?&fpsp=1&tab=Documentation_Tab#AFT23S160W02GSR3","Airfast RF Power LDMOS Transistor, 2300-2400 MHz, 45 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT23S160W02GSR3');trackRFAnalytics('AFT23S160W02GSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2300","2400","28","51.9","155","45 @ AVG","W-CDMA","17.9 @ 2400","30.3","0.53","I/O","AB","LDMOS","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","-","2300 to 2400","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT23S160W02S","AFT23S160W02SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT23S160W02S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2300-2400-mhz-45-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT23S160W02S?&fpsp=1&tab=Documentation_Tab#AFT23S160W02SR3","Airfast RF Power LDMOS Transistor, 2300-2400 MHz, 45 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT23S160W02SR3');trackRFAnalytics('AFT23S160W02SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2300","2400","28","51.9","155","45 @ AVG","W-CDMA","17.9 @ 2400","30.3","0.53","I/O","AB","LDMOS","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","-","2300 to 2400","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT23H200-4S2L","AFT23H200-4S2LR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT23H200-4S2L&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2300-2400-mhz-45-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT23H200-4S2L?&fpsp=1&tab=Documentation_Tab#AFT23H200-4S2LR6","Airfast RF Power LDMOS Transistor, 2300-2400 MHz, 45 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT23H200-4S2LR6');trackRFAnalytics('AFT23H200-4S2LR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2300","2400","28","53.2","210","45 @ AVG","W-CDMA","15.3 @ 2300","42.8","0.32","I/O","AB, C","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","290","2300 to 2400","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT21S240-12S","AFT21S240-12SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT21S240-12S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-55-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT21S240-12S?&fpsp=1&tab=Documentation_Tab#AFT21S240-12SR3","AIRFAST RF POWER LDMOS TRANSISTOR, 2110-2170 MHz, 55 W AVG., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT21S240-12SR3');trackRFAnalytics('AFT21S240-12SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","53.6","230","55 @ AVG","W-CDMA","20.4 @ 2170","33.9","0.35","I/O","AB","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT21S232S","AFT21S232SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT21S232S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-50-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT21S232S?&fpsp=1&tab=Documentation_Tab#AFT21S232SR3","Airfast RF Power LDMOS Transistor, 2110-2170 MHz 50 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT21S232SR3');trackRFAnalytics('AFT21S232SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","52.6","182","50 @ AVG","W-CDMA","16.7 @ 2110","30.5","0.43","I/O","AB","LDMOS","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT21S232S","AFT21S232SR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT21S232S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-50-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT21S232S?&fpsp=1&tab=Documentation_Tab#AFT21S232SR5","Airfast RF Power LDMOS Transistor, 2110-2170 MHz 50 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT21S232SR5');trackRFAnalytics('AFT21S232SR5','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","52.6","182","50 @ AVG","W-CDMA","16.7 @ 2110","30.5","0.43","I/O","AB","LDMOS","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD7IC2012N","MD7IC2012GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD7IC2012N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-2170-mhz-1.3-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MD7IC2012N?&fpsp=1&tab=Documentation_Tab#MD7IC2012GNR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 1805-2170 MHz, 1.3 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MD7IC2012GNR1');trackRFAnalytics('MD7IC2012GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","2170","28","40.8","12","1.3 @ AVG","W-CDMA","31.5 @ 2170","14.9","2.4","I/O","AB","LDMOS","2","-","High Pwr RF SMT 15","15","PRODUCT RAPID GROWTH(2)","13","1805 to 2170","-","10-YEARS APPLICATION LIFE","-","W-CDMA","12","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD7IC2012N","MD7IC2012NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD7IC2012N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-2170-mhz-1.3-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MD7IC2012N?&fpsp=1&tab=Documentation_Tab#MD7IC2012NR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 1805-2170 MHz, 1.3 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MD7IC2012NR1');trackRFAnalytics('MD7IC2012NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","2170","28","40.8","12","1.3 @ AVG","W-CDMA","31.5 @ 2170","14.9","2.4","I/O","AB","LDMOS","2","-","High Pwr RF SMT 15","15","PRODUCT RAPID GROWTH(2)","13","1805 to 2170","-","10-YEARS APPLICATION LIFE","-","W-CDMA","12","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT21S230S","AFT21S230SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT21S230S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-50-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT21S230S?&fpsp=1&tab=Documentation_Tab#AFT21S230SR3","Airfast RF Power LDMOS Transistor, 2110-2170 MHz, 50 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT21S230SR3');trackRFAnalytics('AFT21S230SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","52.6","182","50 @ AVG","W-CDMA","16.7 @ 2110","30.5","0.43","I/O","AB","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT21S230S","AFT21S230SR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT21S230S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-50-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT21S230S?&fpsp=1&tab=Documentation_Tab#AFT21S230SR5","Airfast RF Power LDMOS Transistor, 2110-2170 MHz, 50 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT21S230SR5');trackRFAnalytics('AFT21S230SR5','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","52.6","182","50 @ AVG","W-CDMA","16.7 @ 2110","30.5","0.43","I/O","AB","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD7IC2250N","MD7IC2250GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD7IC2250N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-5.3-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MD7IC2250N?&fpsp=1&tab=Documentation_Tab#MD7IC2250GNR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 2110-2170 MHz, 5.3 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MD7IC2250GNR1');trackRFAnalytics('MD7IC2250GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","47.3","54","5.3 @ AVG","W-CDMA","31.1 @ 2170","16.8","1.1","I/O","AB, C","LDMOS","3","-","High Pwr RF SMT 15","15","PRODUCT STABLE GROWTH/MATURITY(3)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","W-CDMA","54","31.1","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MD7IC2250N","MD7IC2250NBR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MD7IC2250N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-5.3-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MD7IC2250N?&fpsp=1&tab=Documentation_Tab#MD7IC2250NBR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 2110-2170 MHz, 5.3 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MD7IC2250NBR1');trackRFAnalytics('MD7IC2250NBR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","47.3","54","5.3 @ AVG","W-CDMA","31.1 @ 2170","16.8","1.1","I/O","AB, C","LDMOS","3","-","High Pwr RF SMT 15","15","PRODUCT STABLE GROWTH/MATURITY(3)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","W-CDMA","54","31.1","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT21S230-12S","AFT21S230-12SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT21S230-12S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-50-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT21S230-12S?&fpsp=1&tab=Documentation_Tab#AFT21S230-12SR3","Airfast RF Power LDMOS Transistor, 2110-2170 MHz, 50 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT21S230-12SR3');trackRFAnalytics('AFT21S230-12SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","52.6","182","50 @ AVG","W-CDMA","16.7 @ 2110","30.5","0.43","I/O","AB","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT21H350W03S","AFT21H350W03SR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT21H350W03S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-63-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT21H350W03S?&fpsp=1&tab=Documentation_Tab#AFT21H350W03SR6","Airfast RF Power LDMOS Transistor, 2110-2170 MHz, 63 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT21H350W03SR6');trackRFAnalytics('AFT21H350W03SR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","50.4","110","63 @ AVG","W-CDMA","16.4 @ 2110","47.1","0.49","I/O","AB, C","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","400","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT21H350W03S","AFT21H350W04GSR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT21H350W03S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-63-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT21H350W03S?&fpsp=1&tab=Documentation_Tab#AFT21H350W04GSR6","Airfast RF Power LDMOS Transistor, 2110-2170 MHz, 63 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT21H350W04GSR6');trackRFAnalytics('AFT21H350W04GSR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","50.4","110","63 @ AVG","W-CDMA","16.4 @ 2110","47.1","0.49","I/O","AB, C","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","400","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT20S015N","AFT20S015GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT20S015N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/100-3600-mhz-1.5-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT20S015N?&fpsp=1&tab=Documentation_Tab#AFT20S015GNR1","Airfast RF Power LDMOS Transistor, 1805-2690 MHz 1.5 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT20S015GNR1');trackRFAnalytics('AFT20S015GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","100","3600","28","42.1","16.2","1.5 @ AVG","W-CDMA","17.6 @ 2170","22","4.2","I/O","AB","LDMOS","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","-","100 to 3600","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT20S015N","AFT20S015NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT20S015N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/100-3600-mhz-1.5-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT20S015N?&fpsp=1&tab=Documentation_Tab#AFT20S015NR1","Airfast RF Power LDMOS Transistor, 1805-2690 MHz 1.5 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT20S015NR1');trackRFAnalytics('AFT20S015NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","100","3600","28","42.1","16.2","1.5 @ AVG","W-CDMA","17.6 @ 2170","22","4.2","I/O","AB","LDMOS","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","-","100 to 3600","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
